coordinate
"(-8.476938628939902, 115.12334462817064)"
"(-8.476938523307492, 115.1324263428243)"
"(-8.47693841767508, 115.14150805747548)"
"(-8.476938312042671, 115.15058977212418)"
"(-8.476938206410262, 115.15967148677039)"
"(-8.476938100777856, 115.16875320141413)"
"(-8.476937995145454, 115.17783491605539)"
"(-8.47693788951305, 115.18691663069417)"
"(-8.476937783880645, 115.19599834533047)"
"(-8.476937678248243, 115.20508005996429)"
"(-8.476937572615844, 115.21416177459562)"
"(-8.476937466983447, 115.22324348922449)"
"(-8.476937361351053, 115.23232520385088)"
"(-8.476937255718658, 115.24140691847478)"
"(-8.476937150086265, 115.25048863309621)"
"(-8.476937044453877, 115.25957034771515)"
"(-8.476936938821488, 115.26865206233163)"
"(-8.476936833189098, 115.27773377694561)"
"(-8.476936727556707, 115.28681549155712)"
"(-8.47693662192432, 115.29589720616615)"
"(-8.476936516291934, 115.3049789207727)"
"(-8.476936410659551, 115.31406063537678)"
"(-8.476936305027168, 115.32314234997837)"
"(-8.476936199394784, 115.33222406457749)"
"(-8.476936093762403, 115.34130577917412)"
"(-8.476935988130021, 115.35038749376828)"
"(-8.476935882497644, 115.35946920835995)"
"(-8.476935776865266, 115.36855092294915)"
"(-8.47693567123289, 115.37763263753587)"
"(-8.476935565600517, 115.38671435212011)"
"(-8.476935459968146, 115.39579606670186)"
"(-8.476935354335774, 115.40487778128114)"
"(-8.476935248703406, 115.41395949585795)"
"(-8.476935143071039, 115.42304121043227)"
"(-8.476935037438674, 115.43212292500412)"
"(-8.476934931806307, 115.44120463957348)"
"(-8.476934826173942, 115.45028635414037)"
"(-8.476934720541577, 115.45936806870478)"
"(-8.476934614909215, 115.4684497832667)"
"(-8.476934509276855, 115.47753149782615)"
"(-8.476934403644496, 115.48661321238312)"
"(-8.484769912018214, 115.04615032930238)"
"(-8.484769806286831, 115.05523222783569)"
"(-8.48476970055545, 115.06431412636651)"
"(-8.484769594824071, 115.07339602489485)"
"(-8.484769489092693, 115.08247792342071)"
"(-8.484769383361316, 115.09155982194409)"
"(-8.484769277629942, 115.10064172046498)"
"(-8.484769171898565, 115.10972361898338)"
"(-8.484769066167193, 115.11880551749931)"
"(-8.484768960435822, 115.12788741601275)"
"(-8.48476885470445, 115.13696931452371)"
"(-8.484768748973083, 115.14605121303218)"
"(-8.484768643241715, 115.15513311153816)"
"(-8.484768537510348, 115.16421501004167)"
"(-8.484768431778985, 115.1732969085427)"
"(-8.484768326047623, 115.18237880704123)"
"(-8.48476822031626, 115.19146070553728)"
"(-8.484768114584897, 115.20054260403086)"
"(-8.484768008853539, 115.20962450252195)"
"(-8.48476790312218, 115.21870640101055)"
"(-8.484767797390822, 115.22778829949667)"
"(-8.484767691659469, 115.2368701979803)"
"(-8.484767585928116, 115.24595209646145)"
"(-8.484767480196764, 115.25503399494012)"
"(-8.484767374465411, 115.2641158934163)"
"(-8.48476726873406, 115.27319779189)"
"(-8.484767163002713, 115.28227969036122)"
"(-8.484767057271366, 115.29136158882996)"
"(-8.484766951540019, 115.3004434872962)"
"(-8.484766845808675, 115.30952538575997)"
"(-8.484766740077331, 115.31860728422124)"
"(-8.484766634345988, 115.32768918268005)"
"(-8.484766528614648, 115.33677108113636)"
"(-8.48476642288331, 115.34585297959019)"
"(-8.484766317151971, 115.35493487804153)"
"(-8.484766211420636, 115.36401677649039)"
"(-8.484766105689301, 115.37309867493677)"
"(-8.484765999957967, 115.38218057338067)"
"(-8.484765894226634, 115.39126247182207)"
"(-8.484765788495302, 115.400344370261)"
"(-8.484765682763973, 115.40942626869744)"
"(-8.484765577032645, 115.4185081671314)"
"(-8.48476547130132, 115.42759006556288)"
"(-8.484765365569993, 115.43667196399187)"
"(-8.48476525983867, 115.44575386241837)"
"(-8.484765154107347, 115.4548357608424)"
"(-8.484765048376023, 115.46391765926394)"
"(-8.484764942644702, 115.472999557683)"
"(-8.484764836913383, 115.48208145609956)"
"(-8.484764731182064, 115.49116335451366)"
"(-8.492600241243247, 115.0416094720502)"
"(-8.492600135412902, 115.05069155461682)"
"(-8.49260002958256, 115.05977363718095)"
"(-8.492599923752216, 115.0688557197426)"
"(-8.492599817921878, 115.07793780230176)"
"(-8.49259971209154, 115.08701988485842)"
"(-8.4925996062612, 115.0961019674126)"
"(-8.492599500430861, 115.10518404996428)"
"(-8.492599394600527, 115.11426613251348)"
"(-8.492599288770194, 115.12334821506019)"
"(-8.49259918293986, 115.13243029760442)"
"(-8.49259907710953, 115.14151238014615)"
"(-8.492598971279198, 115.1505944626854)"
"(-8.492598865448869, 115.15967654522217)"
"(-8.492598759618541, 115.16875862775643)"
"(-8.492598653788217, 115.17784071028821)"
"(-8.492598547957895, 115.1869227928175)"
"(-8.492598442127571, 115.1960048753443)"
"(-8.492598336297249, 115.20508695786862)"
"(-8.492598230466927, 115.21416904039044)"
"(-8.492598124636608, 115.22325112290979)"
"(-8.492598018806289, 115.23233320542664)"
"(-8.492597912975974, 115.24141528794101)"
"(-8.492597807145659, 115.25049737045288)"
"(-8.492597701315344, 115.25957945296226)"
"(-8.49259759548503, 115.26866153546915)"
"(-8.492597489654719, 115.27774361797356)"
"(-8.492597383824409, 115.28682570047548)"
"(-8.4925972779941, 115.29590778297491)"
"(-8.49259717216379, 115.30498986547185)"
"(-8.492597066333484, 115.31407194796631)"
"(-8.492596960503178, 115.32315403045828)"
"(-8.492596854672875, 115.33223611294775)"
"(-8.492596748842573, 115.34131819543474)"
"(-8.49259664301227, 115.35040027791923)"
"(-8.492596537181972, 115.35948236040124)"
"(-8.492596431351672, 115.36856444288077)"
"(-8.492596325521376, 115.3776465253578)"
"(-8.492596219691078, 115.38672860783235)"
"(-8.492596113860785, 115.39581069030442)"
"(-8.492596008030493, 115.40489277277399)"
"(-8.492595902200202, 115.41397485524107)"
"(-8.492595796369914, 115.42305693770565)"
"(-8.492595690539627, 115.43213902016775)"
"(-8.492595584709338, 115.44122110262737)"
"(-8.49259547887905, 115.4503031850845)"
"(-8.492595373048767, 115.45938526753913)"
"(-8.492595267218482, 115.46846734999129)"
"(-8.492595161388202, 115.47754943244095)"
"(-8.492595055557919, 115.48663151488813)"
"(-8.500430567303951, 115.04615078964963)"
"(-8.50043046137464, 115.05523305642555)"
"(-8.50043035544533, 115.06431532319897)"
"(-8.500430249516022, 115.0733975899699)"
"(-8.500430143586714, 115.08247985673833)"
"(-8.500430037657408, 115.09156212350427)"
"(-8.500429931728101, 115.10064439026772)"
"(-8.5004298257988, 115.10972665702867)"
"(-8.5004297198695, 115.11880892378713)"
"(-8.500429613940199, 115.1278911905431)"
"(-8.5004295080109, 115.13697345729658)"
"(-8.5004294020816, 115.14605572404756)"
"(-8.500429296152305, 115.15513799079605)"
"(-8.500429190223013, 115.16422025754204)"
"(-8.500429084293721, 115.17330252428555)"
"(-8.500428978364427, 115.18238479102655)"
"(-8.500428872435135, 115.19146705776507)"
"(-8.500428766505845, 115.20054932450108)"
"(-8.500428660576556, 115.20963159123461)"
"(-8.500428554647268, 115.21871385796565)"
"(-8.500428448717981, 115.2277961246942)"
"(-8.500428342788696, 115.23687839142025)"
"(-8.500428236859412, 115.2459606581438)"
"(-8.500428130930132, 115.25504292486487)"
"(-8.500428025000852, 115.26412519158343)"
"(-8.500427919071573, 115.27320745829951)"
"(-8.500427813142295, 115.28228972501309)"
"(-8.500427707213019, 115.29137199172418)"
"(-8.500427601283743, 115.30045425843278)"
"(-8.50042749535447, 115.30953652513888)"
"(-8.500427389425198, 115.3186187918425)"
"(-8.500427283495926, 115.32770105854361)"
"(-8.500427177566657, 115.33678332524224)"
"(-8.500427071637388, 115.34586559193836)"
"(-8.500426965708119, 115.354947858632)"
"(-8.500426859778853, 115.36403012532314)"
"(-8.500426753849588, 115.37311239201179)"
"(-8.500426647920325, 115.38219465869795)"
"(-8.500426541991061, 115.39127692538162)"
"(-8.500426436061801, 115.4003591920628)"
"(-8.500426330132541, 115.40944145874147)"
"(-8.500426224203283, 115.41852372541766)"
"(-8.500426118274026, 115.42760599209134)"
"(-8.50042601234477, 115.43668825876254)"
"(-8.500425906415517, 115.44577052543126)"
"(-8.500425800486266, 115.45485279209747)"
"(-8.500425694557014, 115.4639350587612)"
"(-8.500425588627763, 115.47301732542242)"
"(-8.500425482698514, 115.48209959208116)"
"(-8.500425376769268, 115.49118185873739)"
"(-8.508260890197521, 115.04160974845215)"
"(-8.508260784169238, 115.05069219961335)"
"(-8.508260678140957, 115.05977465077206)"
"(-8.508260572112677, 115.06885710192827)"
"(-8.5082604660844, 115.07793955308199)"
"(-8.50826036005612, 115.0870220042332)"
"(-8.508260254027846, 115.09610445538192)"
"(-8.508260147999572, 115.10518690652813)"
"(-8.5082600419713, 115.11426935767186)"
"(-8.508259935943025, 115.12335180881308)"
"(-8.508259829914754, 115.13243425995181)"
"(-8.508259723886482, 115.14151671108803)"
"(-8.508259617858215, 115.15059916222177)"
"(-8.508259511829948, 115.159681613353)"
"(-8.508259405801684, 115.16876406448173)"
"(-8.508259299773421, 115.17784651560797)"
"(-8.508259193745157, 115.1869289667317)"
"(-8.508259087716898, 115.19601141785294)"
"(-8.508258981688638, 115.20509386897169)"
"(-8.50825887566038, 115.21417632008793)"
"(-8.508258769632123, 115.22325877120167)"
"(-8.508258663603865, 115.23234122231293)"
"(-8.508258557575612, 115.24142367342168)"
"(-8.50825845154736, 115.25050612452793)"
"(-8.508258345519106, 115.25958857563168)"
"(-8.508258239490855, 115.26867102673293)"
"(-8.508258133462602, 115.2777534778317)"
"(-8.508258027434355, 115.28683592892796)"
"(-8.508257921406107, 115.29591838002172)"
"(-8.508257815377863, 115.30500083111298)"
"(-8.508257709349621, 115.31408328220175)"
"(-8.50825760332138, 115.32316573328802)"
"(-8.508257497293139, 115.33224818437179)"
"(-8.508257391264898, 115.34133063545306)"
"(-8.50825728523666, 115.35041308653184)"
"(-8.508257179208421, 115.35949553760813)"
"(-8.508257073180186, 115.3685779886819)"
"(-8.508256967151953, 115.37766043975319)"
"(-8.50825686112372, 115.38674289082196)"
"(-8.508256755095488, 115.39582534188825)"
"(-8.508256649067258, 115.40490779295205)"
"(-8.50825654303903, 115.41399024401333)"
"(-8.508256437010802, 115.42307269507212)"
