lat,lon,index_right,featurecla,scalerank,min_zoom
-8.437783139179917,115.44570406434052,9,Land,5.0,0.5
-8.437783034042292,115.45478486225814,9,Land,5.0,0.5
-8.437782928904669,115.4638656601733,9,Land,5.0,0.5
-8.437782823767046,115.472946458086,9,Land,5.0,0.5
-8.437782718629425,115.48202725599624,9,Land,5.0,0.5
-8.445618218526432,115.04160882898935,9,Land,5.0,0.5
-8.44561811328981,115.05068980999523,9,Land,5.0,0.5
-8.445618008053186,115.05977079099868,9,Land,5.0,0.5
-8.445617902816565,115.06885177199966,9,Land,5.0,0.5
-8.445617797579944,115.07793275299817,9,Land,5.0,0.5
-8.445617692343328,115.0870137339942,9,Land,5.0,0.5
-8.445617587106712,115.0960947149878,9,Land,5.0,0.5
-8.445617481870096,115.10517569597891,9,Land,5.0,0.5
-8.445617376633479,115.1142566769676,9,Land,5.0,0.5
-8.445617271396861,115.1233376579538,9,Land,5.0,0.5
-8.445617166160249,115.13241863893757,9,Land,5.0,0.5
-8.445617060923636,115.14149961991886,9,Land,5.0,0.5
-8.445616955687026,115.15058060089768,9,Land,5.0,0.5
-8.445616850450417,115.15966158187403,9,Land,5.0,0.5
-8.44561674521381,115.16874256284795,9,Land,5.0,0.5
-8.445616639977203,115.1778235438194,9,Land,5.0,0.5
-8.4456165347406,115.1869045247884,9,Land,5.0,0.5
-8.445616429503996,115.19598550575492,9,Land,5.0,0.5
-8.445616324267393,115.205066486719,9,Land,5.0,0.5
-8.445616219030791,115.2141474676806,9,Land,5.0,0.5
-8.445616113794191,115.22322844863974,9,Land,5.0,0.5
-8.445616008557591,115.23230942959644,9,Land,5.0,0.5
-8.445615903320995,115.24139041055064,9,Land,5.0,0.5
-8.445615798084397,115.25047139150242,9,Land,5.0,0.5
-8.445615692847802,115.25955237245172,9,Land,5.0,0.5
-8.44561558761121,115.26863335339856,9,Land,5.0,0.5
-8.445615482374617,115.27771433434296,9,Land,5.0,0.5
-8.445615377138028,115.28679531528488,9,Land,5.0,0.5
-8.445615271901437,115.29587629622434,9,Land,5.0,0.5
-8.445615166664847,115.30495727716134,9,Land,5.0,0.5
-8.445615061428262,115.31403825809588,9,Land,5.0,0.5
-8.445614956191676,115.32311923902796,9,Land,5.0,0.5
-8.445614850955094,115.33220021995758,9,Land,5.0,0.5
-8.445614745718512,115.34128120088477,9,Land,5.0,0.5
-8.445614640481931,115.35036218180946,9,Land,5.0,0.5
-8.44561453524535,115.3594431627317,9,Land,5.0,0.5
-8.445614430008773,115.36852414365148,9,Land,5.0,0.5
-8.445614324772198,115.3776051245688,9,Land,5.0,0.5
-8.44561421953562,115.38668610548363,9,Land,5.0,0.5
-8.445614114299046,115.39576708639603,9,Land,5.0,0.5
-8.44561400906247,115.404848067306,9,Land,5.0,0.5
-8.445613903825897,115.41392904821348,9,Land,5.0,0.5
-8.445613798589328,115.4230100291185,9,Land,5.0,0.5
-8.44561369335276,115.43209101002104,9,Land,5.0,0.5
-8.445613588116192,115.44117199092116,9,Land,5.0,0.5
-8.445613482879624,115.45025297181878,9,Land,5.0,0.5
-8.44561337764306,115.45933395271396,9,Land,5.0,0.5
-8.445613272406497,115.46841493360668,9,Land,5.0,0.5
-8.445613167169935,115.47749591449694,9,Land,5.0,0.5
-8.44561306193337,115.48657689538474,9,Land,5.0,0.5
-8.453448563530971,115.03706843006108,9,Land,5.0,0.5
-8.453448458195405,115.04614959422064,9,Land,5.0,0.5
-8.453448352859837,115.05523075837772,9,Land,5.0,0.5
-8.453448247524271,115.06431192253234,9,Land,5.0,0.5
-8.453448142188707,115.07339308668448,9,Land,5.0,0.5
-8.453448036853143,115.08247425083418,9,Land,5.0,0.5
-8.453447931517582,115.0915554149814,9,Land,5.0,0.5
-8.45344782618202,115.10063657912616,9,Land,5.0,0.5
-8.45344772084646,115.10971774326843,9,Land,5.0,0.5
-8.4534476155109,115.11879890740828,9,Land,5.0,0.5
-8.453447510175344,115.12788007154565,9,Land,5.0,0.5
-8.453447404839789,115.13696123568054,9,Land,5.0,0.5
-8.453447299504232,115.14604239981298,9,Land,5.0,0.5
-8.45344719416868,115.15512356394296,9,Land,5.0,0.5
-8.45344708883313,115.16420472807046,9,Land,5.0,0.5
-8.453446983497582,115.1732858921955,9,Land,5.0,0.5
-8.453446878162035,115.18236705631809,9,Land,5.0,0.5
-8.453446772826489,115.19144822043818,9,Land,5.0,0.5
-8.453446667490942,115.20052938455582,9,Land,5.0,0.5
-8.453446562155396,115.209610548671,9,Land,5.0,0.5
-8.453446456819853,115.21869171278372,9,Land,5.0,0.5
-8.45344635148431,115.22777287689397,9,Land,5.0,0.5
-8.453446246148768,115.23685404100176,9,Land,5.0,0.5
-8.453446140813226,115.24593520510707,9,Land,5.0,0.5
-8.453446035477688,115.25501636920993,9,Land,5.0,0.5
-8.453445930142152,115.26409753331032,9,Land,5.0,0.5
-8.453445824806616,115.27317869740824,9,Land,5.0,0.5
-8.453445719471084,115.2822598615037,9,Land,5.0,0.5
-8.453445614135552,115.2913410255967,9,Land,5.0,0.5
-8.453445508800023,115.30042218968724,9,Land,5.0,0.5
-8.453445403464494,115.30950335377528,9,Land,5.0,0.5
-8.453445298128967,115.31858451786088,9,Land,5.0,0.5
