lat,lon,index_right_x,featurecla_x,scalerank_x,min_zoom_x,index_right_y,featurecla_y,scalerank_y,min_zoom_y
-8.809120737524246,115.13284082614253,9,Land,5.0,0.5,,,,
-8.809120627690287,115.14193049536377,9,Land,5.0,0.5,,,,
-8.809120517856334,115.1510201645823,9,Land,5.0,0.5,,,,
-8.809120408022382,115.16010983379816,9,Land,5.0,0.5,,,,
-8.809120298188432,115.16919950301136,9,Land,5.0,0.5,,,,
-8.80912018835448,115.17828917222184,9,Land,5.0,0.5,,,,
-8.809120078520532,115.18737884142968,9,Land,5.0,0.5,,,,
-8.809119968686584,115.19646851063482,9,Land,5.0,0.5,,,,
-8.80911985885264,115.20555817983728,9,Land,5.0,0.5,,,,
-8.809119749018695,115.21464784903704,9,Land,5.0,0.5,,,,
-8.809119639184752,115.22373751823412,9,Land,5.0,0.5,,,,
-8.809119529350813,115.23282718742854,9,Land,5.0,0.5,,,,
-8.80129065571691,115.1282814633892,9,Land,5.0,0.5,,,,
-8.801290545982072,115.1373709414522,9,Land,5.0,0.5,,,,
-8.801290436247237,115.14646041951252,9,Land,5.0,0.5,,,,
-8.801290326512405,115.15554989757015,9,Land,5.0,0.5,,,,
-8.801290216777572,115.16463937562511,9,Land,5.0,0.5,,,,
-8.801290107042743,115.1737288536774,9,Land,5.0,0.5,,,,
-8.801289997307912,115.182818331727,9,Land,5.0,0.5,,,,
-8.801289887573086,115.19190780977394,9,Land,5.0,0.5,,,,
-8.80128977783826,115.20099728781818,9,Land,5.0,0.5,,,,
-8.801289668103434,115.21008676585976,9,Land,5.0,0.5,,,,
-8.801289558368609,115.21917624389866,9,Land,5.0,0.5,,,,
-8.801289448633787,115.22826572193487,9,Land,5.0,0.5,,,,
-8.801285278711559,115.57366588532696,2,Land,5.0,3.0,,,,
-8.801285168976793,115.58275536325876,2,Land,5.0,3.0,,,,
-8.801285059242026,115.59184484118786,2,Land,5.0,3.0,,,,
-8.793460241529008,115.14190078359348,9,Land,5.0,0.5,,,,
-8.79346013189329,115.1509900706669,9,Land,5.0,0.5,,,,
-8.793460022257575,115.16007935773764,9,Land,5.0,0.5,,,,
-8.793459912621861,115.1691686448057,9,Land,5.0,0.5,,,,
-8.79345980298615,115.17825793187107,9,Land,5.0,0.5,,,,
-8.79345969335044,115.1873472189338,9,Land,5.0,0.5,,,,
-8.793459583714732,115.19643650599386,9,Land,5.0,0.5,,,,
-8.793459474079025,115.20552579305124,9,Land,5.0,0.5,,,,
-8.793459364443317,115.21461508010594,9,Land,5.0,0.5,,,,
