lat,lon,index_right,featurecla,scalerank,min_zoom
-8.652524052958656,114.47836663464284,0,Land,0.0,0.0
-8.652523945106275,114.48745251438127,0,Land,0.0,0.0
-8.652523837253892,114.49653839411712,0,Land,0.0,0.0
-8.652523729401508,114.5056242738504,0,Land,0.0,0.0
-8.652523621549129,114.51471015358106,0,Land,0.0,0.0
-8.65252351369675,114.52379603330915,0,Land,0.0,0.0
-8.652523405844375,114.53288191303466,0,Land,0.0,0.0
-8.652523297992001,114.54196779275756,0,Land,0.0,0.0
-8.652523190139627,114.5510536724779,0,Land,0.0,0.0
-8.660354745187224,114.446566337251,0,Land,0.0,0.0
-8.660354637235788,114.45565240480714,0,Land,0.0,0.0
-8.660354529284353,114.4647384723607,0,Land,0.0,0.0
-8.66035442133292,114.47382453991166,0,Land,0.0,0.0
-8.660354313381488,114.48291060746004,0,Land,0.0,0.0
-8.660354205430057,114.4919966750058,0,Land,0.0,0.0
-8.660354097478628,114.501082742549,0,Land,0.0,0.0
-8.6603539895272,114.5101688100896,0,Land,0.0,0.0
-8.660353881575775,114.51925487762762,0,Land,0.0,0.0
-8.66035377362435,114.52834094516304,0,Land,0.0,0.0
-8.660353665672925,114.53742701269589,0,Land,0.0,0.0
-8.660353557721505,114.5465130802261,0,Land,0.0,0.0
-8.660353449770083,114.55559914775375,0,Land,0.0,0.0
-8.660353341818666,114.5646852152788,0,Land,0.0,0.0
-8.660353233867246,114.57377128280127,0,Land,0.0,0.0
-8.6681850027818,114.44202339746252,0,Land,0.0,0.0
-8.668184894731317,114.4511096530024,0,Land,0.0,0.0
-8.668184786680833,114.46019590853967,0,Land,0.0,0.0
-8.668184678630352,114.46928216407436,0,Land,0.0,0.0
-8.668184570579871,114.47836841960644,0,Land,0.0,0.0
-8.668184462529391,114.48745467513594,0,Land,0.0,0.0
-8.66818435447891,114.49654093066285,0,Land,0.0,0.0
-8.668184246428432,114.50562718618714,0,Land,0.0,0.0
-8.668184138377956,114.51471344170884,0,Land,0.0,0.0
